Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
"SGCE","Sarcoglycan Epsilon","Protein Coding","O43556","55","GC07M094524","9.58880710601807","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SGCE"
"CNTNAP2","Contactin Associated Protein 2","Protein Coding","Q9UHC6","58","GC07P146116","8.88320446014404","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CNTNAP2"
"VPS13A","Vacuolar Protein Sorting 13 Homolog A","Protein Coding","Q96RL7","53","GC09P077177","8.66020107269287","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VPS13A"
"SLC18A2","Solute Carrier Family 18 Member A2","Protein Coding","Q05940","60","GC10P117241","8.18497180938721","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC18A2"
"SCN2A","Sodium Voltage-Gated Channel Alpha Subunit 2","Protein Coding","Q99250","61","GC02P165194","8.16378307342529","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SCN2A"
"SLC6A4","Solute Carrier Family 6 Member 4","Protein Coding","P31645","61","GC17M030194","8.08903980255127","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC6A4"
"BTBD9","BTB Domain Containing 9","Protein Coding","Q96Q07","46","GC06M038168","8.03858852386475","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BTBD9"
"MECP2","Methyl-CpG Binding Protein 2","Protein Coding","P51608","60","GC0XM154021","8.02343559265137","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MECP2"
"DRD1","Dopamine Receptor D1","Protein Coding","P21728","58","GC05M175440","7.98275136947632","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DRD1"
"GTSCR1","Gilles De La Tourette Syndrome Chromosome Region, Candidate 1","RNA Gene","Q86UQ5","30","GC18M070630","7.92242336273193","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GTSCR1"
"AADAC","Arylacetamide Deacetylase","Protein Coding","P22760","54","GC03P151813","7.88943672180176","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AADAC"
"PANK2","Pantothenate Kinase 2","Protein Coding","Q9BZ23","58","GC20P010991","7.68069887161255","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PANK2"
"DPP6","Dipeptidyl Peptidase Like 6","Protein Coding","P42658","58","GC07P153748","7.39349174499512","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DPP6"
"MIR24-1","MicroRNA 24-1","RNA Gene","","27","GC09P095086","7.31340551376343","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR24-1"
"SLC6A2","Solute Carrier Family 6 Member 2","Protein Coding","P23975","60","GC16P121574","7.26117563247681","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC6A2"
"MAOA","Monoamine Oxidase A","Protein Coding","P21397","62","GC0XP043654","6.98992919921875","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAOA"
"HTR1A","5-Hydroxytryptamine Receptor 1A","Protein Coding","P08908","59","GC05M063960","6.98992538452148","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HTR1A"
"FGFR1","Fibroblast Growth Factor Receptor 1","Protein Coding","P11362","68","GC08M038400","6.75598001480103","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGFR1"
"PNKD","PNKD Metallo-Beta-Lactamase Domain Containing","Protein Coding","Q8N490","54","GC02P218270","6.7434344291687","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PNKD"
"CNTN6","Contactin 6","Protein Coding","Q9UQ52","55","GC03P001109","6.69206094741821","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CNTN6"
"ADRA2A","Adrenoceptor Alpha 2A","Protein Coding","P08913","60","GC10P111077","6.63676881790161","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADRA2A"
"SCN1A","Sodium Voltage-Gated Channel Alpha Subunit 1","Protein Coding","P35498","61","GC02M165989","6.62726831436157","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SCN1A"
"SHANK3","SH3 And Multiple Ankyrin Repeat Domains 3","Protein Coding","Q9BYB0","52","GC22P092484","6.57319402694702","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SHANK3"
"NLGN4X","Neuroligin 4 X-Linked","Protein Coding","Q8N0W4","55","GC0XM005840","6.44720125198364","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NLGN4X"
"GTS","Gilles De La Tourette Syndrome","Genetic Locus","","8","GC11U990059","6.35565090179443","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GTS"
"TBC1D24","TBC1 Domain Family Member 24","Protein Coding","Q9ULP9","51","GC16P002475","6.35483074188232","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TBC1D24"
"OPRD1","Opioid Receptor Delta 1","Protein Coding","P41143","55","GC01P028812","5.72921895980835","https://www.genecards.org/cgi-bin/carddisp.pl?gene=OPRD1"
"GNAO1","G Protein Subunit Alpha O1","Protein Coding","P09471","60","GC16P121581","5.69630908966064","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GNAO1"
"CELSR3","Cadherin EGF LAG Seven-Pass G-Type Receptor 3","Protein Coding","Q9NYQ7","50","GC03M048641","5.67769575119019","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CELSR3"
"CNR1","Cannabinoid Receptor 1","Protein Coding","P21554","59","GC06M088139","5.5934534072876","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CNR1"
"DBH","Dopamine Beta-Hydroxylase","Protein Coding","P09172","64","GC09P133636","5.56667137145996","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DBH"
"SLC1A3","Solute Carrier Family 1 Member 3","Protein Coding","P43003","62","GC05P036736","5.55948400497437","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC1A3"
"COASY","Coenzyme A Synthase","Protein Coding","Q13057","57","GC17P042561","5.55788946151733","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COASY"
"GDNF","Glial Cell Derived Neurotrophic Factor","Protein Coding","P39905","62","GC05M037812","5.50114440917969","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GDNF"
"ADORA2A","Adenosine A2a Receptor","Protein Coding","P29274","59","GC22P024417","5.44190216064453","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADORA2A"
"PWAR1","Prader Willi/Angelman Region RNA 1","RNA Gene","","22","GC15P025135","5.41666793823242","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PWAR1"
"ADORA1","Adenosine A1 Receptor","Protein Coding","P30542","60","GC01P203090","5.38146257400513","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADORA1"
"FGF10","Fibroblast Growth Factor 10","Protein Coding","O15520","60","GC05M045229","5.34252119064331","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGF10"
"HCN1","Hyperpolarization Activated Cyclic Nucleotide Gated Potassium Channel 1","Protein Coding","O60741","59","GC05M045260","5.34252119064331","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HCN1"
"ISL1","ISL LIM Homeobox 1","Protein Coding","P61371","57","GC05P051383","5.34252119064331","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ISL1"
"ITGA1","Integrin Subunit Alpha 1","Protein Coding","P56199","57","GC05P052788","5.34252119064331","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ITGA1"
"MANBA","Mannosidase Beta","Protein Coding","O00462","55","GC04M102631","5.24589061737061","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MANBA"
"ROBO3","Roundabout Guidance Receptor 3","Protein Coding","Q96MS0","55","GC11P124865","5.24589061737061","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ROBO3"
"ROBO4","Roundabout Guidance Receptor 4","Protein Coding","Q8WZ75","55","GC11M124883","5.24589061737061","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ROBO4"
"HTR3A","5-Hydroxytryptamine Receptor 3A","Protein Coding","P46098","58","GC11P113975","5.23800277709961","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HTR3A"
"HTR3B","5-Hydroxytryptamine Receptor 3B","Protein Coding","O95264","54","GC11P114377","5.20793724060059","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HTR3B"
"KCNQ2","Potassium Voltage-Gated Channel Subfamily Q Member 2","Protein Coding","O43526","61","GC20M063400","5.18684959411621","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KCNQ2"
"TBXA2R","Thromboxane A2 Receptor","Protein Coding","P21731","63","GC19M003594","5.17756271362305","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TBXA2R"
"IER3","Immediate Early Response 3","Protein Coding","P46695","50","GC06M030743","5.17756271362305","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IER3"
"TH","Tyrosine Hydroxylase","Protein Coding","P07101","63","GC11M002163","5.1322865486145","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TH"
"DLGAP3","DLG Associated Protein 3","Protein Coding","O95886","49","GC01M034865","5.10712575912476","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DLGAP3"
"ADRA1A","Adrenoceptor Alpha 1A","Protein Coding","P35348","59","GC08M026747","5.07304430007935","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADRA1A"
"CDH2","Cadherin 2","Protein Coding","P19022","64","GC18M038314","5.04297876358032","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDH2"
"HMBS","Hydroxymethylbilane Synthase","Protein Coding","P08397","57","GC11P119084","5.04297876358032","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HMBS"
"TYR","Tyrosinase","Protein Coding","P14679","61","GC11P089177","5.01260471343994","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TYR"
"TTF2","Transcription Termination Factor 2","Protein Coding","Q9UNY4","51","GC01P117060","5.01260471343994","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TTF2"
"MTHFR","Methylenetetrahydrofolate Reductase","Protein Coding","P42898","61","GC01M011785","4.80674362182617","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MTHFR"
"VPS13B","Vacuolar Protein Sorting 13 Homolog B","Protein Coding","Q7Z7G8","52","GC08P099174","4.77604866027832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VPS13B"
"SCN8A","Sodium Voltage-Gated Channel Alpha Subunit 8","Protein Coding","Q9UQD0","62","GC12P051590","4.73400497436523","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SCN8A"
"OXTR","Oxytocin Receptor","Protein Coding","P30559","60","GC03M008767","4.45986366271973","https://www.genecards.org/cgi-bin/carddisp.pl?gene=OXTR"
"SLC2A1","Solute Carrier Family 2 Member 1","Protein Coding","P11166","66","GC01M042925","4.42750024795532","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC2A1"
"XK","X-Linked Kx Blood Group Antigen, Kell And VPS13A Binding Protein","Protein Coding","P51811","52","GC0XP037685","4.41698408126831","https://www.genecards.org/cgi-bin/carddisp.pl?gene=XK"
"OPRM1","Opioid Receptor Mu 1","Protein Coding","P35372","61","GC06P183705","4.40316915512085","https://www.genecards.org/cgi-bin/carddisp.pl?gene=OPRM1"
"TSC2","TSC Complex Subunit 2","Protein Coding","P49815","64","GC16P120169","4.35108852386475","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TSC2"
"PVALB","Parvalbumin","Protein Coding","P20472","52","GC22M036800","4.19322443008423","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PVALB"
"GNB1","G Protein Subunit Beta 1","Protein Coding","P62873","58","GC01M001785","4.19146823883057","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GNB1"
"DNAJC13","DnaJ Heat Shock Protein Family (Hsp40) Member C13","Protein Coding","O75165","52","GC03P132417","4.16960716247559","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DNAJC13"
"MRPL3","Mitochondrial Ribosomal Protein L3","Protein Coding","P09001","53","GC03M131462","4.00929594039917","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MRPL3"
"CACNA1A","Calcium Voltage-Gated Channel Subunit Alpha1 A","Protein Coding","O00555","61","GC19M013206","3.94404697418213","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CACNA1A"
"PTEN","Phosphatase And Tensin Homolog","Protein Coding","P60484","65","GC10P124078","3.93787908554077","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTEN"
"PRRT2","Proline Rich Transmembrane Protein 2","Protein Coding","Q7Z6L0","52","GC16P029811","3.92951345443726","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRRT2"
"NLGN3","Neuroligin 3","Protein Coding","Q9NZ94","57","GC0XP071144","3.89161586761475","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NLGN3"
"PRKN","Parkin RBR E3 Ubiquitin Protein Ligase","Protein Coding","O60260","62","GC06M161348","3.88648366928101","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRKN"
"SHANK2","SH3 And Multiple Ankyrin Repeat Domains 2","Protein Coding","Q9UPX8","53","GC11M070467","3.8822808265686","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SHANK2"
"SCN9A","Sodium Voltage-Gated Channel Alpha Subunit 9","Protein Coding","Q15858","60","GC02M166195","3.87401080131531","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SCN9A"
"NKX2-1","NK2 Homeobox 1","Protein Coding","P43699","61","GC14M036516","3.86874151229858","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NKX2-1"
"STXBP1","Syntaxin Binding Protein 1","Protein Coding","P61764","61","GC09P152828","3.81978011131287","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STXBP1"
"SLC1A1","Solute Carrier Family 1 Member 1","Protein Coding","P43005","62","GC09P004490","3.81395292282104","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC1A1"
"SLITRK2","SLIT And NTRK Like Family Member 2","Protein Coding","Q9H156","51","GC0XP145817","3.78006935119629","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLITRK2"
"PLA2G6","Phospholipase A2 Group VI","Protein Coding","O60733","61","GC22M087757","3.73124217987061","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLA2G6"
"MAF","MAF BZIP Transcription Factor","Protein Coding","O75444","58","GC16M079204","3.72307753562927","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAF"
"CDKL5","Cyclin Dependent Kinase Like 5","Protein Coding","O76039","56","GC0XP018425","3.69474840164185","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDKL5"
"NLGN1","Neuroligin 1","Protein Coding","Q8N2Q7","58","GC03P173399","3.64899492263794","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NLGN1"
"HRH3","Histamine Receptor H3","Protein Coding","Q9Y5N1","54","GC20M062214","3.64899492263794","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HRH3"
"NRXN2","Neurexin 2","Protein Coding","Q9P2S2","53","GC11M139728","3.64899492263794","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NRXN2"
"CLCN6","Chloride Voltage-Gated Channel 6","Protein Coding","P51797","55","GC01P011806","3.60739755630493","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CLCN6"
"MGLL","Monoglyceride Lipase","Protein Coding","Q99685","57","GC03M127689","3.54860019683838","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MGLL"
"CASD1","CAS1 Domain Containing 1","Protein Coding","Q96PB1","47","GC07P094509","3.50591158866882","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CASD1"
"GRIN1","Glutamate Ionotropic Receptor NMDA Type Subunit 1","Protein Coding","Q05586","64","GC09P137138","3.4592809677124","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GRIN1"
"TCIRG1","T Cell Immune Regulator 1, ATPase H+ Transporting V0 Subunit A3","Protein Coding","Q13488","57","GC11P108023","3.42513179779053","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TCIRG1"
"VPS13A-AS1","VPS13A Antisense RNA 1","RNA Gene","","19","GC09M077176","3.42513179779053","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VPS13A-AS1"
"GABRB2","Gamma-Aminobutyric Acid Type A Receptor Subunit Beta2","Protein Coding","P47870","61","GC05M161288","3.3763542175293","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GABRB2"
"MYO18A","Myosin XVIIIA","Protein Coding","Q92614","51","GC17M096706","3.35900211334229","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYO18A"
"SLITRK5","SLIT And NTRK Like Family Member 5","Protein Coding","O94991","48","GC13P087671","3.33929753303528","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLITRK5"
"MIR4761","MicroRNA 4761","RNA Gene","","18","GC22P091536","3.33929753303528","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR4761"
"BMAL1","Basic Helix-Loop-Helix ARNT Like 1","Protein Coding","O00327","54","GC11P021222","3.33372354507446","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BMAL1"
"KCNA2","Potassium Voltage-Gated Channel Subfamily A Member 2","Protein Coding","P16389","59","GC01M110519","3.31766486167908","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KCNA2"
"ARX","Aristaless Related Homeobox","Protein Coding","Q96QS3","55","GC0XM025003","3.31766486167908","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ARX"
"ALG13","ALG13 UDP-N-Acetylglucosaminyltransferase Subunit","Protein Coding","Q9NP73","51","GC0XP111665","3.31766486167908","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALG13"
"EHMT1","Euchromatic Histone Lysine Methyltransferase 1","Protein Coding","Q9H9B1","58","GC09P137618","3.31148076057434","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EHMT1"
"MIR106B","MicroRNA 106b","RNA Gene","","30","GC07M106713","3.29299449920654","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR106B"
"SYNJ1","Synaptojanin 1","Protein Coding","O43426","57","GC21M032628","3.25743246078491","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SYNJ1"
"GABRG2","Gamma-Aminobutyric Acid Type A Receptor Subunit Gamma2","Protein Coding","P18507","61","GC05P162000","3.23955392837524","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GABRG2"
"GABRA1","Gamma-Aminobutyric Acid Type A Receptor Subunit Alpha1","Protein Coding","P14867","60","GC05P161847","3.23955392837524","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GABRA1"
"RELN","Reelin","Protein Coding","P78509","57","GC07M103471","3.14088678359985","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RELN"
"AKT1","AKT Serine/Threonine Kinase 1","Protein Coding","P31749","66","GC14M104769","3.12414956092834","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AKT1"
"KCNQ3","Potassium Voltage-Gated Channel Subfamily Q Member 3","Protein Coding","O43525","60","GC08M132120","3.0979380607605","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KCNQ3"
"GRIA3","Glutamate Ionotropic Receptor AMPA Type Subunit 3","Protein Coding","P42263","63","GC0XP123184","3.08219742774963","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GRIA3"
"CHD8","Chromodomain Helicase DNA Binding Protein 8","Protein Coding","Q9HCK8","56","GC14M021385","3.07512784004211","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHD8"
"PTCHD1","Patched Domain Containing 1","Protein Coding","Q96NR3","47","GC0XP023334","3.07455039024353","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTCHD1"
"UGDH","UDP-Glucose 6-Dehydrogenase","Protein Coding","O60701","58","GC04M039502","3.0632061958313","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UGDH"
"GBA1","Glucosylceramidase Beta 1","Protein Coding","P04062","62","GC01M167453","3.03716611862183","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GBA1"
"OGDH","Oxoglutarate Dehydrogenase","Protein Coding","Q02218","60","GC07P044606","3.03716611862183","https://www.genecards.org/cgi-bin/carddisp.pl?gene=OGDH"
"POLR3A","RNA Polymerase III Subunit A","Protein Coding","O14802","58","GC10M079381","3.03716611862183","https://www.genecards.org/cgi-bin/carddisp.pl?gene=POLR3A"
"BCS1L","BCS1 Homolog, Ubiquinol-Cytochrome C Reductase Complex Chaperone","Protein Coding","Q9Y276","57","GC02P218658","3.03716611862183","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BCS1L"
"DNAJC5","DnaJ Heat Shock Protein Family (Hsp40) Member C5","Protein Coding","Q9H3Z4","54","GC20P063895","3.03716611862183","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DNAJC5"
"RAB3GAP1","RAB3 GTPase Activating Protein Catalytic Subunit 1","Protein Coding","Q15042","53","GC02P135052","3.03716611862183","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAB3GAP1"
"LOC106627981","GBA Recombination Region","Functional Element","","11","GC01P155233","3.03716611862183","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC106627981"
"PACS2","Phosphofurin Acidic Cluster Sorting Protein 2","Protein Coding","Q86VP3","52","GC14P105300","3.03622651100159","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PACS2"
"TBR1","T-Box Brain Transcription Factor 1","Protein Coding","Q16650","54","GC02P161416","2.99032974243164","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TBR1"
"BDNF-AS","BDNF Antisense RNA","RNA Gene","","31","GC11P027466","2.94626259803772","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BDNF-AS"
"PDGFB","Platelet Derived Growth Factor Subunit B","Protein Coding","P01127","64","GC22M086976","2.88076090812683","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDGFB"
"GRIA1","Glutamate Ionotropic Receptor AMPA Type Subunit 1","Protein Coding","P42261","62","GC05P153489","2.86798453330994","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GRIA1"
"IL6","Interleukin 6","Protein Coding","P05231","64","GC07P022725","2.82596588134766","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL6"
"SIGMAR1","Sigma Non-Opioid Intracellular Receptor 1","Protein Coding","Q99720","59","GC09M034634","2.76568198204041","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SIGMAR1"
"MBD5","Methyl-CpG Binding Domain Protein 5","Protein Coding","Q9P267","50","GC02P154649","2.75797033309937","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MBD5"
"SPTBN1","Spectrin Beta, Non-Erythrocytic 1","Protein Coding","Q01082","57","GC02P054456","2.75665974617004","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SPTBN1"
"GAMT","Guanidinoacetate N-Methyltransferase","Protein Coding","Q14353","60","GC19M001397","2.74589014053345","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GAMT"
"MIR9-1","MicroRNA 9-1","RNA Gene","","30","GC01M156420","2.74589014053345","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR9-1"
"MIR212","MicroRNA 212","RNA Gene","","29","GC17M002050","2.74589014053345","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR212"
"LAMA5","Laminin Subunit Alpha 5","Protein Coding","O15230","56","GC20M062307","2.70844984054565","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LAMA5"
"MAPK1","Mitogen-Activated Protein Kinase 1","Protein Coding","P28482","65","GC22M021759","2.68270635604858","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK1"
"DMD","Dystrophin","Protein Coding","P11532","58","GC0XM031097","2.66915059089661","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DMD"
"DNM1","Dynamin 1","Protein Coding","Q05193","63","GC09P128191","2.65914297103882","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DNM1"
"TUBA1A","Tubulin Alpha 1a","Protein Coding","Q71U36","62","GC12M049184","2.65914297103882","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TUBA1A"
"CSNK1E","Casein Kinase 1 Epsilon","Protein Coding","P49674","60","GC22M086301","2.65914297103882","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CSNK1E"
"MDH2","Malate Dehydrogenase 2","Protein Coding","P40926","60","GC07P076048","2.65914297103882","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MDH2"
"SLC25A12","Solute Carrier Family 25 Member 12","Protein Coding","O75746","60","GC02M171783","2.65914297103882","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC25A12"
"WWOX","WW Domain Containing Oxidoreductase","Protein Coding","Q9NZC7","60","GC16P078099","2.65914297103882","https://www.genecards.org/cgi-bin/carddisp.pl?gene=WWOX"
"KDM2B","Lysine Demethylase 2B","Protein Coding","Q8NHM5","55","GC12M124684","2.65914297103882","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KDM2B"
"RALGAPA1","Ral GTPase Activating Protein Catalytic Subunit Alpha 1","Protein Coding","Q6GYQ0","53","GC14M035538","2.65914297103882","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RALGAPA1"
"MAST4","Microtubule Associated Serine/Threonine Kinase Family Member 4","Protein Coding","O15021","51","GC05P066596","2.65914297103882","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAST4"
"UFSP2","UFM1 Specific Peptidase 2","Protein Coding","Q9NUQ7","51","GC04M185399","2.65914297103882","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UFSP2"
"MLLT1","MLLT1 Super Elongation Complex Subunit","Protein Coding","Q03111","48","GC19M006210","2.65914297103882","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MLLT1"
"CFAP96","Cilia And Flagella Associated Protein 96","Protein Coding","A7E2U8","35","GC04P185408","2.65914297103882","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CFAP96"
