Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
"C12orf57","Chromosome 12 Open Reading Frame 57","Protein Coding","Q99622","48","GC12P074083","51.8373870849609","https://www.genecards.org/cgi-bin/carddisp.pl?gene=C12orf57"
"KIF5B","Kinesin Family Member 5B","Protein Coding","P33176","60","GC10M037181","51.113395690918","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KIF5B"
"CDK20","Cyclin Dependent Kinase 20","Protein Coding","Q8IZL9","54","GC09M087966","51.113395690918","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDK20"
"CHAF1B","Chromatin Assembly Factor 1 Subunit B","Protein Coding","Q13112","52","GC21P036385","51.113395690918","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHAF1B"
"RPL17","Ribosomal Protein L17","Protein Coding","P18621","52","GC18M049488","51.113395690918","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL17"
"MAGED2","MAGE Family Member D2","Protein Coding","Q9UNF1","51","GC0XP054807","51.113395690918","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAGED2"
"MT-ND1","Mitochondrially Encoded NADH:Ubiquinone Oxidoreductase Core Subunit 1","Protein Coding","P03886","47","GCMTP003309","51.113395690918","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MT-ND1"
"TMEM47","Transmembrane Protein 47","Protein Coding","Q9BQJ4","45","GC0XM034555","51.113395690918","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TMEM47"
"RPL17-C18orf32","RPL17-C18orf32 Readthrough","Protein Coding","","28","GC18M049481","51.113395690918","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL17-C18orf32"
"TPH2","Tryptophan Hydroxylase 2","Protein Coding","Q8IWU9","62","GC12P071938","43.2278938293457","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TPH2"
"BDNF","Brain Derived Neurotrophic Factor","Protein Coding","P23560","62","GC11M027654","36.5698585510254","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BDNF"
"MAOA","Monoamine Oxidase A","Protein Coding","P21397","62","GC0XP043654","36.5617256164551","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAOA"
"BAIAP2","BAR/IMD Domain Containing Adaptor Protein 2","Protein Coding","Q9UQB8","53","GC17P081035","36.3677635192871","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BAIAP2"
"SLC6A4","Solute Carrier Family 6 Member 4","Protein Coding","P31645","61","GC17M030194","34.6198844909668","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC6A4"
"RIC1","RIC1 Homolog, RAB6A GEF Complex Partner 1","Protein Coding","Q4ADV7","44","GC09P010634","33.997730255127","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RIC1"
"SLC6A2","Solute Carrier Family 6 Member 2","Protein Coding","P23975","60","GC16P121574","33.7084350585938","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC6A2"
"DBH","Dopamine Beta-Hydroxylase","Protein Coding","P09172","64","GC09P133636","30.9229793548584","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DBH"
"GRIN2A","Glutamate Ionotropic Receptor NMDA Type Subunit 2A","Protein Coding","Q12879","65","GC16M009753","30.5421714782715","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GRIN2A"
"SLC9A9","Solute Carrier Family 9 Member A9","Protein Coding","Q8IVB4","51","GC03M143265","29.5799503326416","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC9A9"
"SNAP25","Synaptosome Associated Protein 25","Protein Coding","P60880","62","GC20P011116","29.0904865264893","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNAP25"
"ADRA2A","Adrenoceptor Alpha 2A","Protein Coding","P08913","60","GC10P111077","28.872142791748","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADRA2A"
"FMR1","Fragile X Messenger Ribonucleoprotein 1","Protein Coding","Q06787","57","GC0XP148000","28.754358291626","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FMR1"
"DRD2","Dopamine Receptor D2","Protein Coding","P14416","62","GC11M113409","28.5386867523193","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DRD2"
"DRD3","Dopamine Receptor D3","Protein Coding","P35462","57","GC03M114128","28.1049156188965","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DRD3"
"CHRNA4","Cholinergic Receptor Nicotinic Alpha 4 Subunit","Protein Coding","P43681","62","GC20M063343","27.7742977142334","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHRNA4"
"SLC2A9","Solute Carrier Family 2 Member 9","Protein Coding","Q9NRM0","58","GC04M009772","27.4229831695557","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC2A9"
"CACNA1A","Calcium Voltage-Gated Channel Subunit Alpha1 A","Protein Coding","O00555","61","GC19M013206","27.3157138824463","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CACNA1A"
"HTR2A","5-Hydroxytryptamine Receptor 2A","Protein Coding","P28223","61","GC13M046831","27.2772312164307","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HTR2A"
"CRY1","Cryptochrome Circadian Regulator 1","Protein Coding","Q16526","57","GC12M106991","27.2043418884277","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CRY1"
"GRIN2B","Glutamate Ionotropic Receptor NMDA Type Subunit 2B","Protein Coding","Q13224","65","GC12M013437","26.2891979217529","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GRIN2B"
"DOCK3","Dedicator Of Cytokinesis 3","Protein Coding","Q8IZD9","54","GC03P065042","26.0931224822998","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DOCK3"
"NF1","Neurofibromin 1","Protein Coding","P21359","61","GC17P031094","26.0786781311035","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NF1"
"HTR1B","5-Hydroxytryptamine Receptor 1B","Protein Coding","P28222","55","GC06M107837","25.7780685424805","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HTR1B"
"LOC110806262","Solute Carrier Family 6 Member 4 Gene Promoter","Functional Element","","9","GC17P030235","25.2891025543213","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC110806262"
"DRD1","Dopamine Receptor D1","Protein Coding","P21728","58","GC05M175440","24.9548892974854","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DRD1"
"RFX7","Regulatory Factor X7","Protein Coding","Q2KHR2","45","GC15M056087","24.7795886993408","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RFX7"
"NIPA2","NIPA Magnesium Transporter 2","Protein Coding","Q8N8Q9","48","GC15P192305","24.396484375","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NIPA2"
"NIPA1","NIPA Magnesium Transporter 1","Protein Coding","Q7RTP0","50","GC15P022773","24.2855777740479","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NIPA1"
"SPRED1","Sprouty Related EVH1 Domain Containing 1","Protein Coding","Q7Z699","54","GC15P038252","24.2793750762939","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SPRED1"
"TSC2","TSC Complex Subunit 2","Protein Coding","P49815","64","GC16P120169","24.1165294647217","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TSC2"
"AUTS2","Activator Of Transcription And Developmental Regulator AUTS2","Protein Coding","Q8WXX7","53","GC07P069598","23.8364505767822","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AUTS2"
"SLC6A1","Solute Carrier Family 6 Member 1","Protein Coding","P30531","59","GC03P027031","23.6402606964111","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC6A1"
"CNTNAP2","Contactin Associated Protein 2","Protein Coding","Q9UHC6","58","GC07P146116","23.5592269897461","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CNTNAP2"
"SRRM2","Serine/Arginine Repetitive Matrix 2","Protein Coding","Q9UQ35","49","GC16P120194","23.5388774871826","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SRRM2"
"CACNA1C","Calcium Voltage-Gated Channel Subunit Alpha1 C","Protein Coding","Q13936","62","GC12P001970","23.4150867462158","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CACNA1C"
"THRB","Thyroid Hormone Receptor Beta","Protein Coding","P10828","61","GC03M024117","23.2234859466553","https://www.genecards.org/cgi-bin/carddisp.pl?gene=THRB"
"MED13","Mediator Complex Subunit 13","Protein Coding","Q9UHV7","51","GC17M061942","23.2013835906982","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MED13"
"KCNA4","Potassium Voltage-Gated Channel Subfamily A Member 4","Protein Coding","P22459","58","GC11M030009","23.023832321167","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KCNA4"
"PHF21A","PHD Finger Protein 21A","Protein Coding","Q96BD5","54","GC11M139431","22.8770046234131","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PHF21A"
"ADNP","Activity Dependent Neuroprotector Homeobox","Protein Coding","Q9H2P0","55","GC20M050888","22.6734180450439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADNP"
"KMT2B","Lysine Methyltransferase 2B","Protein Coding","Q9UMN6","52","GC19P152396","22.4648532867432","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KMT2B"
"PPM1D","Protein Phosphatase, Mg2+/Mn2+ Dependent 1D","Protein Coding","O15297","61","GC17P060600","22.2313842773438","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPM1D"
"FOXP1","Forkhead Box P1","Protein Coding","Q9H334","57","GC03M070954","22.194803237915","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FOXP1"
"CDK8","Cyclin Dependent Kinase 8","Protein Coding","P49336","61","GC13P026254","22.1332569122314","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDK8"
"NTRK2","Neurotrophic Receptor Tyrosine Kinase 2","Protein Coding","Q16620","66","GC09P084668","21.8892974853516","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NTRK2"
"SCN8A","Sodium Voltage-Gated Channel Alpha Subunit 8","Protein Coding","Q9UQD0","62","GC12P051590","21.7947025299072","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SCN8A"
"CHRNA7","Cholinergic Receptor Nicotinic Alpha 7 Subunit","Protein Coding","P36544","56","GC15P031923","21.6933746337891","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHRNA7"
"SLITRK1","SLIT And NTRK Like Family Member 1","Protein Coding","Q96PX8","54","GC13M083877","21.5631866455078","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLITRK1"
"FGD1","FYVE, RhoGEF And PH Domain Containing 1","Protein Coding","P98174","54","GC0XM054534","21.4081134796143","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGD1"
"CDH13","Cadherin 13","Protein Coding","P55290","57","GC16P082626","21.2688541412354","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDH13"
"MRPL39","Mitochondrial Ribosomal Protein L39","Protein Coding","Q9NYK5","49","GC21M025585","21.2423915863037","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MRPL39"
"ZNF292","Zinc Finger Protein 292","Protein Coding","O60281","48","GC06P182466","21.2423915863037","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZNF292"
"HTR1A","5-Hydroxytryptamine Receptor 1A","Protein Coding","P08908","59","GC05M063960","21.240104675293","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HTR1A"
"SYNGAP1","Synaptic Ras GTPase Activating Protein 1","Protein Coding","Q96PV0","60","GC06P181961","21.099142074585","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SYNGAP1"
"ADGRL3","Adhesion G Protein-Coupled Receptor L3","Protein Coding","Q9HAR2","51","GC04P061201","20.9736423492432","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADGRL3"
"GDNF","Glial Cell Derived Neurotrophic Factor","Protein Coding","P39905","62","GC05M037812","20.8345069885254","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GDNF"
"HTR2C","5-Hydroxytryptamine Receptor 2C","Protein Coding","P28335","57","GC0XP114584","20.8146419525146","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HTR2C"
"MAOB","Monoamine Oxidase B","Protein Coding","P27338","57","GC0XM043766","20.5598106384277","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAOB"
"CASP2","Caspase 2","Protein Coding","P42575","61","GC07P165863","20.5019302368164","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CASP2"
"TRAPPC14","Trafficking Protein Particle Complex Subunit 14","Protein Coding","Q8WVR3","44","GC07M106993","20.4391384124756","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRAPPC14"
"BCL11B","BCL11 Transcription Factor B","Protein Coding","Q9C0K0","55","GC14M099169","20.1734085083008","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BCL11B"
"CHD8","Chromodomain Helicase DNA Binding Protein 8","Protein Coding","Q9HCK8","56","GC14M021385","20.0004444122314","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHD8"
"NRXN1","Neurexin 1","Protein Coding","Q9ULB1","61","GC02M049918","19.9119434356689","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NRXN1"
"DLG4","Discs Large MAGUK Scaffold Protein 4","Protein Coding","P78352","61","GC17M096179","19.7290019989014","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DLG4"
"EIF2AK1","Eukaryotic Translation Initiation Factor 2 Alpha Kinase 1","Protein Coding","Q9BQI3","57","GC07M006022","19.6343364715576","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EIF2AK1"
"KPNA3","Karyopherin Subunit Alpha 3","Protein Coding","O00505","55","GC13M049699","19.6343364715576","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KPNA3"
"TNRC6B","Trinucleotide Repeat Containing Adaptor 6B","Protein Coding","Q9UPQ9","50","GC22P040044","19.6343364715576","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNRC6B"
"UBE3A","Ubiquitin Protein Ligase E3A","Protein Coding","Q05086","61","GC15M025333","19.592945098877","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UBE3A"
"TH","Tyrosine Hydroxylase","Protein Coding","P07101","63","GC11M002163","19.4826049804688","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TH"
"DDC","Dopa Decarboxylase","Protein Coding","P20711","63","GC07M050458","19.4654445648193","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DDC"
"STX1A","Syntaxin 1A","Protein Coding","Q16623","60","GC07M080956","19.2424240112305","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STX1A"
"SLC1A3","Solute Carrier Family 1 Member 3","Protein Coding","P43003","62","GC05P036736","19.191255569458","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC1A3"
"DCDC2","Doublecortin Domain Containing 2","Protein Coding","Q9UHG0","51","GC06M024171","18.7981834411621","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DCDC2"
"MTOR","Mechanistic Target Of Rapamycin Kinase","Protein Coding","P42345","68","GC01M011106","18.6424140930176","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MTOR"
"LOC126860568","CDK7 Strongly-Dependent Group 2 Enhancer GRCh37_chr9:5762408-5763607","Functional Element","","4","GC09P010783","18.4832134246826","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC126860568"
"IGF1","Insulin Like Growth Factor 1","Protein Coding","P05019","61","GC12M102395","18.4059867858887","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGF1"
"GIT1","GIT ArfGAP 1","Protein Coding","Q9Y2X7","53","GC17M029573","18.279260635376","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GIT1"
"SCN1A","Sodium Voltage-Gated Channel Alpha Subunit 1","Protein Coding","P35498","61","GC02M165989","18.2364406585693","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SCN1A"
"PTEN","Phosphatase And Tensin Homolog","Protein Coding","P60484","65","GC10P124078","18.2198123931885","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTEN"
"NR4A2","Nuclear Receptor Subfamily 4 Group A Member 2","Protein Coding","P43354","59","GC02M156324","18.110071182251","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NR4A2"
"SYP","Synaptophysin","Protein Coding","P08247","59","GC0XM049187","18.0917205810547","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SYP"
"NLGN3","Neuroligin 3","Protein Coding","Q9NZ94","57","GC0XP071144","18.031759262085","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NLGN3"
"MYT1L","Myelin Transcription Factor 1 Like","Protein Coding","Q9UL68","55","GC02M001789","17.923131942749","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYT1L"
"FOXP2","Forkhead Box P2","Protein Coding","O15409","56","GC07P114086","17.9135417938232","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FOXP2"
"CYP2D6","Cytochrome P450 Family 2 Subfamily D Member 6 (Gene/Pseudogene)","Protein Coding","P10635","60","GC22M042126","17.8696937561035","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP2D6"
"TPH1","Tryptophan Hydroxylase 1","Protein Coding","P17752","58","GC11M018171","17.8132877349854","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TPH1"
"GABRB3","Gamma-Aminobutyric Acid Type A Receptor Subunit Beta3","Protein Coding","P28472","62","GC15M026543","17.7388191223145","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GABRB3"
"STS","Steroid Sulfatase","Protein Coding","P08842","59","GC0XP007146","17.6295261383057","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STS"
"PAX6","Paired Box 6","Protein Coding","P26367","61","GC11M031784","17.432689666748","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PAX6"
"NLGN1","Neuroligin 1","Protein Coding","Q8N2Q7","58","GC03P173399","17.4147262573242","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NLGN1"
"CLOCK","Clock Circadian Regulator","Protein Coding","O15516","57","GC04M055427","17.3117923736572","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CLOCK"
"NLGN4X","Neuroligin 4 X-Linked","Protein Coding","Q8N0W4","55","GC0XM005840","17.2749462127686","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NLGN4X"
"GABRA2","Gamma-Aminobutyric Acid Type A Receptor Subunit Alpha2","Protein Coding","P47869","60","GC04M046243","17.1641082763672","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GABRA2"
"ADRA2C","Adrenoceptor Alpha 2C","Protein Coding","P18825","57","GC04P003766","17.0157127380371","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADRA2C"
"NGF","Nerve Growth Factor","Protein Coding","P01138","64","GC01M115285","17.0078563690186","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NGF"
"GRIA1","Glutamate Ionotropic Receptor AMPA Type Subunit 1","Protein Coding","P42261","62","GC05P153489","16.9939861297607","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GRIA1"
"IFNG","Interferon Gamma","Protein Coding","P01579","63","GC12M068154","16.8532543182373","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFNG"
"ADRA1A","Adrenoceptor Alpha 1A","Protein Coding","P35348","59","GC08M026747","16.8087291717529","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADRA1A"
"SLITRK2","SLIT And NTRK Like Family Member 2","Protein Coding","Q9H156","51","GC0XP145817","16.7342910766602","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLITRK2"
"ADRB2","Adrenoceptor Beta 2","Protein Coding","P07550","62","GC05P159202","16.7065086364746","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADRB2"
"HTR1D","5-Hydroxytryptamine Receptor 1D","Protein Coding","P28221","58","GC01M023191","16.7065086364746","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HTR1D"
"NEMF","Nuclear Export Mediator Factor","Protein Coding","O60524","50","GC14M049782","16.6550006866455","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NEMF"
"HCRT","Hypocretin Neuropeptide Precursor","Protein Coding","O43612","53","GC17M097206","16.6463432312012","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HCRT"
"SLC18A2","Solute Carrier Family 18 Member A2","Protein Coding","Q05940","60","GC10P117241","16.5200729370117","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC18A2"
"ZMYND11","Zinc Finger MYND-Type Containing 11","Protein Coding","Q15326","52","GC10P000134","16.4455909729004","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZMYND11"
"PTCHD1","Patched Domain Containing 1","Protein Coding","Q96NR3","47","GC0XP023334","16.4067192077637","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTCHD1"
"IMMP2L","Inner Mitochondrial Membrane Peptidase Subunit 2","Protein Coding","Q96T52","49","GC07M110686","16.4062957763672","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IMMP2L"
"SLC1A2","Solute Carrier Family 1 Member 2","Protein Coding","P43004","62","GC11M035281","16.3666973114014","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC1A2"
"GRM7","Glutamate Metabotropic Receptor 7","Protein Coding","Q14831","58","GC03P006770","16.3466033935547","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GRM7"
"RBFOX1","RNA Binding Fox-1 Homolog 1","Protein Coding","Q9NWB1","52","GC16P120267","16.2937164306641","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RBFOX1"
"PRL","Prolactin","Protein Coding","P01236","56","GC06M022287","16.2662887573242","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRL"
"PMS2","PMS1 Homolog 2, Mismatch Repair System Component","Protein Coding","P54278","61","GC07M005973","16.2153625488281","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PMS2"
"QARS1","Glutaminyl-TRNA Synthetase 1","Protein Coding","P47897","47","GC03M054746","16.0920944213867","https://www.genecards.org/cgi-bin/carddisp.pl?gene=QARS1"
"SYN3","Synapsin III","Protein Coding","O14994","53","GC22M086042","16.0411720275879","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SYN3"
"ARF1","ARF GTPase 1","Protein Coding","P84077","58","GC01P228082","16.0359382629395","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ARF1"
"NSD1","Nuclear Receptor Binding SET Domain Protein 1","Protein Coding","Q96L73","57","GC05P190349","16.0195159912109","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NSD1"
"PRTG","Protogenin","Protein Coding","Q2VWP7","47","GC15M055611","15.9221296310425","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRTG"
"GRM5","Glutamate Metabotropic Receptor 5","Protein Coding","P41594","60","GC11M088504","15.8181104660034","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GRM5"
"ARRB2","Arrestin Beta 2","Protein Coding","P32121","57","GC17P153623","15.7901601791382","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ARRB2"
"SHOC2","SHOC2 Leucine Rich Repeat Scaffold Protein","Protein Coding","Q9UQ13","53","GC10P110919","15.772762298584","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SHOC2"
"NR3C1","Nuclear Receptor Subfamily 3 Group C Member 1","Protein Coding","P04150","62","GC05M143277","15.764030456543","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NR3C1"
"PNMT","Phenylethanolamine N-Methyltransferase","Protein Coding","P11086","57","GC17P039667","15.7408304214478","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PNMT"
