Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
"FOXP1","Forkhead Box P1","Protein Coding","Q9H334","57","GC03M070954","16.9580860137939","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FOXP1"
"STXBP1","Syntaxin Binding Protein 1","Protein Coding","P61764","61","GC09P152828","16.7700538635254","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STXBP1"
"SLC6A4","Solute Carrier Family 6 Member 4","Protein Coding","P31645","61","GC17M030194","16.7117519378662","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC6A4"
"SCN8A","Sodium Voltage-Gated Channel Alpha Subunit 8","Protein Coding","Q9UQD0","62","GC12P051590","16.573522567749","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SCN8A"
"ACTL6B","Actin Like 6B","Protein Coding","O94805","54","GC07M100643","16.5510749816895","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACTL6B"
"ANKRD11","Ankyrin Repeat Domain Containing 11","Protein Coding","Q6UB99","50","GC16M089267","16.5457000732422","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ANKRD11"
"MAGEL2","MAGE Family Member L2","Protein Coding","Q9UJ55","50","GC15M023643","16.4933738708496","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAGEL2"
"SLC9A6","Solute Carrier Family 9 Member A6","Protein Coding","Q92581","58","GC0XP135985","16.4886569976807","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC9A6"
"NBEA","Neurobeachin","Protein Coding","Q8NFP9","54","GC13P034942","16.4847736358643","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NBEA"
"MTOR","Mechanistic Target Of Rapamycin Kinase","Protein Coding","P42345","68","GC01M011106","16.4547691345215","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MTOR"
"MEF2C","Myocyte Enhancer Factor 2C","Protein Coding","Q06413","62","GC05M088718","16.3911781311035","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MEF2C"
"MYT1L","Myelin Transcription Factor 1 Like","Protein Coding","Q9UL68","55","GC02M001789","16.2925128936768","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYT1L"
"KMT2D","Lysine Methyltransferase 2D","Protein Coding","O14686","57","GC12M049018","16.2722339630127","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KMT2D"
"DEAF1","DEAF1 Transcription Factor","Protein Coding","O75398","52","GC11M000644","16.2523155212402","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DEAF1"
"EHMT1","Euchromatic Histone Lysine Methyltransferase 1","Protein Coding","Q9H9B1","58","GC09P137618","16.2203598022461","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EHMT1"
"ARID1B","AT-Rich Interaction Domain 1B","Protein Coding","Q8NFD5","57","GC06P183768","16.0540409088135","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ARID1B"
"IQSEC2","IQ Motif And Sec7 Domain ArfGEF 2","Protein Coding","Q5JU85","52","GC0XM053225","16.0480365753174","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IQSEC2"
"KLLN","Killin, P53 Regulated DNA Replication Inhibitor","Protein Coding","B2CW77","42","GC10M088664","16.0478019714355","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KLLN"
"NTRK2","Neurotrophic Receptor Tyrosine Kinase 2","Protein Coding","Q16620","66","GC09P084668","15.9740524291992","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NTRK2"
"STX1A","Syntaxin 1A","Protein Coding","Q16623","60","GC07M080956","15.9552965164185","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STX1A"
"DYRK1A","Dual Specificity Tyrosine Phosphorylation Regulated Kinase 1A","Protein Coding","Q13627","63","GC21P037365","15.9471387863159","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DYRK1A"
"EN2","Engrailed Homeobox 2","Protein Coding","P19622","55","GC07P166097","15.8296222686768","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EN2"
"PCDH19","Protocadherin 19","Protein Coding","Q8TAB3","55","GC0XM100291","15.8001518249512","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PCDH19"
"NAA15","N-Alpha-Acetyltransferase 15, NatA Auxiliary Subunit","Protein Coding","Q9BXJ9","52","GC04P139301","15.7956562042236","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NAA15"
"HEPACAM","Hepatic And Glial Cell Adhesion Molecule","Protein Coding","Q14CZ8","52","GC11M124919","15.6908073425293","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HEPACAM"
"BDNF","Brain Derived Neurotrophic Factor","Protein Coding","P23560","62","GC11M027654","15.6261940002441","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BDNF"
"CHD2","Chromodomain Helicase DNA Binding Protein 2","Protein Coding","O14647","57","GC15P194008","15.5952024459839","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHD2"
"NSD1","Nuclear Receptor Binding SET Domain Protein 1","Protein Coding","Q96L73","57","GC05P190349","15.4822158813477","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NSD1"
"NF1","Neurofibromin 1","Protein Coding","P21359","61","GC17P031094","15.3701810836792","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NF1"
"MED13L","Mediator Complex Subunit 13L","Protein Coding","Q71F56","51","GC12M115953","15.3348112106323","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MED13L"
"CAPRIN1","Cell Cycle Associated Protein 1","Protein Coding","Q14444","51","GC11P034051","15.3226413726807","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CAPRIN1"
"ZNF292","Zinc Finger Protein 292","Protein Coding","O60281","48","GC06P182466","15.3159790039063","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZNF292"
"ANK2","Ankyrin 2","Protein Coding","Q01484","54","GC04P112815","15.2776918411255","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ANK2"
"GABRA5","Gamma-Aminobutyric Acid Type A Receptor Subunit Alpha5","Protein Coding","P31644","61","GC15P026866","15.2526330947876","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GABRA5"
"OXTR","Oxytocin Receptor","Protein Coding","P30559","60","GC03M008767","15.1492338180542","https://www.genecards.org/cgi-bin/carddisp.pl?gene=OXTR"
"MAOA","Monoamine Oxidase A","Protein Coding","P21397","62","GC0XP043654","15.1299152374268","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAOA"
"WDFY3","WD Repeat And FYVE Domain Containing 3","Protein Coding","Q8IZQ1","52","GC04M084792","15.056830406189","https://www.genecards.org/cgi-bin/carddisp.pl?gene=WDFY3"
"CACNA1A","Calcium Voltage-Gated Channel Subunit Alpha1 A","Protein Coding","O00555","61","GC19M013206","15.0450086593628","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CACNA1A"
"ASH1L","ASH1 Like Histone Lysine Methyltransferase","Protein Coding","Q9NR48","52","GC01M155335","15.0040063858032","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ASH1L"
"CYFIP1","Cytoplasmic FMR1 Interacting Protein 1","Protein Coding","Q7L576","52","GC15M022867","14.9555177688599","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYFIP1"
"DPYD","Dihydropyrimidine Dehydrogenase","Protein Coding","Q12882","64","GC01M097015","14.9199523925781","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DPYD"
"GRIA1","Glutamate Ionotropic Receptor AMPA Type Subunit 1","Protein Coding","P42261","62","GC05P153489","14.8975639343262","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GRIA1"
"HUWE1","HECT, UBA And WWE Domain Containing E3 Ubiquitin Protein Ligase 1","Protein Coding","Q7Z6Z7","60","GC0XM053532","14.8787250518799","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HUWE1"
"COMT","Catechol-O-Methyltransferase","Protein Coding","P21964","64","GC22P019941","14.8081331253052","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COMT"
"SHANK1","SH3 And Multiple Ankyrin Repeat Domains 1","Protein Coding","Q9Y566","51","GC19M050659","14.7905025482178","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SHANK1"
"FOXP2","Forkhead Box P2","Protein Coding","O15409","56","GC07P114086","14.7743425369263","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FOXP2"
"ANK3","Ankyrin 3","Protein Coding","Q12955","56","GC10M060026","14.6884765625","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ANK3"
"BDNF-AS","BDNF Antisense RNA","RNA Gene","","31","GC11P027466","14.6280117034912","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BDNF-AS"
"SLC6A1","Solute Carrier Family 6 Member 1","Protein Coding","P30531","59","GC03P027031","14.6251525878906","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC6A1"
"ADSL","Adenylosuccinate Lyase","Protein Coding","P30566","60","GC22P040346","14.6109800338745","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADSL"
"PHF21A","PHD Finger Protein 21A","Protein Coding","Q96BD5","54","GC11M139431","14.6063613891602","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PHF21A"
"MET","MET Proto-Oncogene, Receptor Tyrosine Kinase","Protein Coding","P08581","67","GC07P116672","14.5770606994629","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MET"
"EIF4E","Eukaryotic Translation Initiation Factor 4E","Protein Coding","P06730","62","GC04M098879","14.5349798202515","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EIF4E"
"RERE","Arginine-Glutamic Acid Dipeptide Repeats","Protein Coding","Q9P2R6","54","GC01M022380","14.5173587799072","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RERE"
"FOXG1","Forkhead Box G1","Protein Coding","P55316","57","GC14P057625","14.4729404449463","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FOXG1"
"SETD5","SET Domain Containing 5","Protein Coding","Q9C0A6","49","GC03P026945","14.4300746917725","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SETD5"
"ARX","Aristaless Related Homeobox","Protein Coding","Q96QS3","55","GC0XM025003","14.4223375320435","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ARX"
"SATB2","SATB Homeobox 2","Protein Coding","Q9UPW6","57","GC02M199269","14.3941164016724","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SATB2"
"JMJD1C","Jumonji Domain Containing 1C","Protein Coding","Q15652","53","GC10M063167","14.3047294616699","https://www.genecards.org/cgi-bin/carddisp.pl?gene=JMJD1C"
"TANC2","Tetratricopeptide Repeat, Ankyrin Repeat And Coiled-Coil Containing 2","Protein Coding","Q9HCD6","48","GC17P155340","14.2923822402954","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TANC2"
"CAMK2B","Calcium/Calmodulin Dependent Protein Kinase II Beta","Protein Coding","Q13554","62","GC07M045687","14.2726392745972","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CAMK2B"
"CEP41","Centrosomal Protein 41","Protein Coding","Q9BYV8","52","GC07M130393","14.2686252593994","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CEP41"
"NR4A2","Nuclear Receptor Subfamily 4 Group A Member 2","Protein Coding","P43354","59","GC02M156324","14.2220830917358","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NR4A2"
"CHD7","Chromodomain Helicase DNA Binding Protein 7","Protein Coding","Q9P2D1","57","GC08P060678","14.1789064407349","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHD7"
"RAB39B","RAB39B, Member RAS Oncogene Family","Protein Coding","Q96DA2","50","GC0XM155259","14.1704969406128","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAB39B"
"GRIN2A","Glutamate Ionotropic Receptor NMDA Type Subunit 2A","Protein Coding","Q12879","65","GC16M009753","14.1662330627441","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GRIN2A"
"BCKDK","Branched Chain Keto Acid Dehydrogenase Kinase","Protein Coding","O14874","57","GC16P121086","14.1375579833984","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BCKDK"
"SMARCA2","SWI/SNF Related BAF Chromatin Remodeling Complex Subunit ATPase 2","Protein Coding","P51531","62","GC09P001980","14.1275072097778","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMARCA2"
"TNRC6B","Trinucleotide Repeat Containing Adaptor 6B","Protein Coding","Q9UPQ9","50","GC22P040044","14.1171627044678","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNRC6B"
"KCNQ2","Potassium Voltage-Gated Channel Subfamily Q Member 2","Protein Coding","O43526","61","GC20M063400","14.102858543396","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KCNQ2"
"AKT1","AKT Serine/Threonine Kinase 1","Protein Coding","P31749","66","GC14M104769","14.08913230896","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AKT1"
"GABBR2","Gamma-Aminobutyric Acid Type B Receptor Subunit 2","Protein Coding","O75899","61","GC09M098288","14.0823802947998","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GABBR2"
"SLC25A12","Solute Carrier Family 25 Member 12","Protein Coding","O75746","60","GC02M171783","14.08021068573","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC25A12"
"KDM5C","Lysine Demethylase 5C","Protein Coding","P41229","59","GC0XM053176","14.0800046920776","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KDM5C"
"PRKN","Parkin RBR E3 Ubiquitin Protein Ligase","Protein Coding","O60260","62","GC06M161348","14.0788288116455","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRKN"
"TCF4","Transcription Factor 4","Protein Coding","P15884","60","GC18M055222","14.0705995559692","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TCF4"
"CNTN4","Contactin 4","Protein Coding","Q8IWV2","53","GC03P002117","14.0632591247559","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CNTN4"
"ATRX","ATRX Chromatin Remodeler","Protein Coding","P46100","60","GC0XM077504","14.0167293548584","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATRX"
"CDC42BPB","CDC42 Binding Protein Kinase Beta","Protein Coding","Q9Y5S2","55","GC14M102932","14.0109920501709","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDC42BPB"
"SYN1","Synapsin I","Protein Coding","P17600","57","GC0XM047571","13.9847850799561","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SYN1"
"ALDH5A1","Aldehyde Dehydrogenase 5 Family Member A1","Protein Coding","P51649","60","GC06P024494","13.9752807617188","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALDH5A1"
"VPS13B","Vacuolar Protein Sorting 13 Homolog B","Protein Coding","Q7Z7G8","52","GC08P099174","13.9734830856323","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VPS13B"
"NRXN3","Neurexin 3","Protein Coding","Q9Y4C0","56","GC14P078170","13.9618654251099","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NRXN3"
"DLG4","Discs Large MAGUK Scaffold Protein 4","Protein Coding","P78352","61","GC17M096179","13.9561405181885","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DLG4"
"RAI1","Retinoic Acid Induced 1","Protein Coding","Q7Z5J4","51","GC17P154060","13.9263038635254","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAI1"
"DISC1","DISC1 Scaffold Protein","Protein Coding","Q9NRI5","55","GC01P231626","13.9160385131836","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DISC1"
"DEL16P11.2","Autism, Susceptibility To, 14","Genetic Locus","","3","GC16U901830","13.8955888748169","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DEL16P11.2"
"GABRD","Gamma-Aminobutyric Acid Type A Receptor Subunit Delta","Protein Coding","O14764","59","GC01P002019","13.8878221511841","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GABRD"
"CHRNA7","Cholinergic Receptor Nicotinic Alpha 7 Subunit","Protein Coding","P36544","56","GC15P031923","13.8846111297607","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHRNA7"
"SPTAN1","Spectrin Alpha, Non-Erythrocytic 1","Protein Coding","Q13813","61","GC09P128552","13.8661317825317","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SPTAN1"
"GLRA2","Glycine Receptor Alpha 2","Protein Coding","P23416","58","GC0XP014448","13.8656539916992","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GLRA2"
"SMC1A","Structural Maintenance Of Chromosomes 1A","Protein Coding","Q14683","61","GC0XM053374","13.8552026748657","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMC1A"
"RBFOX1","RNA Binding Fox-1 Homolog 1","Protein Coding","Q9NWB1","52","GC16P120267","13.8423042297363","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RBFOX1"
"SHH","Sonic Hedgehog Signaling Molecule","Protein Coding","Q15465","63","GC07M155799","13.8146123886108","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SHH"
"IL1RAPL1","Interleukin 1 Receptor Accessory Protein Like 1","Protein Coding","Q9NZN1","57","GC0XP028605","13.8058223724365","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL1RAPL1"
"KMT2A","Lysine Methyltransferase 2A","Protein Coding","Q03164","60","GC11P118436","13.7828845977783","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KMT2A"
"CREBBP","CREB Binding Protein","Protein Coding","Q92793","67","GC16M049995","13.7811784744263","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CREBBP"
"SMC3","Structural Maintenance Of Chromosomes 3","Protein Coding","Q9UQE7","60","GC10P110567","13.7424039840698","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMC3"
"TBL1XR1","TBL1X/Y Related 1","Protein Coding","Q9BZK7","58","GC03M177019","13.7133741378784","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TBL1XR1"
"EEF1A2","Eukaryotic Translation Elongation Factor 1 Alpha 2","Protein Coding","Q05639","60","GC20M063488","13.7036571502686","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EEF1A2"
"ARHGEF9","Cdc42 Guanine Nucleotide Exchange Factor 9","Protein Coding","O43307","53","GC0XM063634","13.6948156356812","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ARHGEF9"
"PPP2R5D","Protein Phosphatase 2 Regulatory Subunit B'Delta","Protein Coding","Q14738","58","GC06P182067","13.6921806335449","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPP2R5D"
"DNMT3A","DNA Methyltransferase 3 Alpha","Protein Coding","Q9Y6K1","65","GC02M025228","13.6577053070068","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DNMT3A"
"CACNA1D","Calcium Voltage-Gated Channel Subunit Alpha1 D","Protein Coding","Q01668","60","GC03P053328","13.6503648757935","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CACNA1D"
"GABRA4","Gamma-Aminobutyric Acid Type A Receptor Subunit Alpha4","Protein Coding","P48169","58","GC04M046836","13.6420526504517","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GABRA4"
"KDM5A","Lysine Demethylase 5A","Protein Coding","P29375","55","GC12M000280","13.6191158294678","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KDM5A"
"HOXA1","Homeobox A1","Protein Coding","P49639","54","GC07M027092","13.5554780960083","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HOXA1"
